,pp_total_raw,week,pct_access,engagement_index
0,"[10000, 12000[",1,0.3512228006941663,60.10368270042194
1,"[10000, 12000[",2,1.0660259682610143,138.5995326284177
2,"[10000, 12000[",3,1.0664716853170566,142.72833869239014
3,"[10000, 12000[",4,0.9473166871812907,127.84510865191147
4,"[10000, 12000[",5,1.067360420121614,149.81444216545466
5,"[10000, 12000[",6,1.0213154172560113,140.7192623388965
6,"[10000, 12000[",7,1.0362672480123107,216.92734914785814
7,"[10000, 12000[",8,0.973591512490854,264.26034794504255
8,"[10000, 12000[",9,1.024757738263242,271.31097830756016
9,"[10000, 12000[",10,1.0701061758980712,279.65628705929487
10,"[10000, 12000[",11,1.0373858101882323,280.5254303371351
11,"[10000, 12000[",12,0.6079441768206291,236.05114340633736
12,"[10000, 12000[",13,0.6725447934463574,243.08271839362692
13,"[10000, 12000[",14,1.0357219405630436,347.0693150014679
14,"[10000, 12000[",15,0.888450841452613,342.0675911201238
15,"[10000, 12000[",16,0.899535996581927,284.6076445220249
16,"[10000, 12000[",17,0.8948049883848882,291.8002222114169
17,"[10000, 12000[",18,0.8536065982465617,267.38754631454475
18,"[10000, 12000[",19,0.8161157589209492,252.319544166751
19,"[10000, 12000[",20,0.7638142677697406,234.31399102213507
20,"[10000, 12000[",21,0.5464563344429215,158.0397848888889
21,"[10000, 12000[",22,0.34339683255368314,100.03299472107291
22,"[10000, 12000[",23,0.2435024899217453,65.35937582897714
23,"[10000, 12000[",24,0.12068976963420301,39.05952407614782
24,"[10000, 12000[",25,0.11192907001339632,43.896139515628235
25,"[10000, 12000[",26,0.13637138830162085,57.67170284156444
26,"[10000, 12000[",27,0.11452391629297458,47.34604700144108
27,"[10000, 12000[",28,0.11571250432975407,48.41775191292165
28,"[10000, 12000[",29,0.11099086197490453,45.7908660322891
29,"[10000, 12000[",30,0.09823584589614741,43.37799480575695
30,"[10000, 12000[",31,0.09028793569216577,41.362034517092596
31,"[10000, 12000[",32,0.071364987122763,35.81971870604782
32,"[10000, 12000[",33,0.07562026426200763,37.699091218515996
33,"[10000, 12000[",34,0.21665636324877427,75.38663583620617
34,"[10000, 12000[",35,0.608741211158993,235.08209251804996
35,"[10000, 12000[",36,0.827400729770337,306.70186900610287
36,"[10000, 12000[",37,0.940217758898008,273.0407477889297
